% fc fy E
5.91836 56.9206 36714.6
6.71008 54.6486 32365.5
5.87049 54.5149 30205
5.81502 66.5293 32603.2
6.53167 63.0006 28469
6.16082 58.6416 33320.3
6.79662 57.2505 28153.7
5.97565 61.3899 27116.4
5.64628 56.5221 32766.4
5.73878 51.5026 35103.5
6.63423 75.8828 34919.9
5.97177 61.0122 32806.3
6.77526 59.2451 29475.7
6.21135 53.0924 33384.6
5.33682 60.4236 25834.4
6.83573 63.6237 25734.3
5.04734 55.693 31597.1
6.15491 54.9097 33062
5.54662 65.6566 27402.6
5.35595 49.5956 33631
6.50185 68.1436 35297.5
5.70105 52.2494 36152.3
5.43323 60.7892 28065.2
5.19211 58.9843 24593.7
7.10054 58.9486 21083.5
6.10818 58.8485 31032.2
6.26612 59.6691 34175.9
7.06381 58.8088 31038.7
5.56661 62.0798 28614.5
7.14197 51.2796 33464.3
5.82416 44.2415 32152.7
6.85074 64.4284 28646.7
5.60011 68.0487 28958.2
4.67114 59.3319 34671.3
6.496 78.5996 31183.3
5.27548 61.5914 27748.1
5.93969 59.0098 30906.1
5.07914 60.5575 32934.9
5.98073 60.4926 25158.3
6.83362 55.7878 30081.9
5.06144 67.1096 31566.4
6.80351 58.5362 28885.9
5.89572 48.93 25371.7
6.82817 60.1753 29901.4
6.24668 63.4521 31530
5.30672 67.0134 27133.3
6.20123 53.464 28679.7
5.43664 65.9048 26829.6
5.36103 52.8247 33747.7
